,timestamp,open,high,low,close,volume
208,2023-11-25,70.72,72.5,70.48,71.87,300567.558
209,2023-11-26,71.87,71.87,68.91,70.03,373752.056
210,2023-11-27,70.03,70.5,67.91,69.22,322130.627
211,2023-11-28,69.22,70.27,67.81,69.77,633474.873
212,2023-11-29,69.76,70.46,69.15,70.0,304678.502
213,2023-11-30,69.99,70.15,69.11,69.42,212371.48
214,2023-12-01,69.44,72.23,69.2,71.57,478440.251
215,2023-12-02,71.57,72.72,71.16,72.2,286408.09
216,2023-12-03,72.2,72.75,71.3,72.31,285246.303
217,2023-12-04,72.31,75.07,71.89,72.93,1008230.995
218,2023-12-05,72.92,74.37,71.0,74.34,543100.844
219,2023-12-06,74.35,74.94,72.17,72.41,640078.051
220,2023-12-07,72.4,74.51,71.82,74.02,564515.734
221,2023-12-08,74.02,78.88,73.32,78.5,857419.485
222,2023-12-09,78.49,79.53,75.52,76.32,736505.035
223,2023-12-10,76.33,79.0,76.33,77.18,559666.195
224,2023-12-11,77.17,77.5,70.46,72.67,988665.178
225,2023-12-12,72.66,73.72,71.03,72.37,476918.626
226,2023-12-13,72.38,75.55,70.15,73.12,716835.326
227,2023-12-14,73.14,74.05,71.25,72.93,673631.561
228,2023-12-15,72.93,72.96,70.52,70.93,388128.515
229,2023-12-16,70.92,72.52,70.43,72.19,273166.636
230,2023-12-17,72.18,73.63,70.86,71.18,405335.594
231,2023-12-18,71.18,71.55,68.0,70.85,516602.696
232,2023-12-19,70.86,71.66,69.69,70.73,342815.358
233,2023-12-20,70.72,71.89,69.38,69.83,738447.841
234,2023-12-21,69.83,71.09,68.92,70.93,581051.4
235,2023-12-22,70.93,73.78,70.31,73.58,539144.649
236,2023-12-23,73.58,74.09,70.7,72.45,472707.301
237,2023-12-24,72.44,72.95,70.0,71.12,507808.475
238,2023-12-25,71.11,72.77,70.55,72.22,364732.752
239,2023-12-26,72.23,74.45,71.04,73.24,851162.765
240,2023-12-27,73.24,77.3,72.07,75.98,929059.454
241,2023-12-28,75.98,77.64,74.51,76.51,981067.893
242,2023-12-29,76.51,77.8,72.71,73.25,909063.669
243,2023-12-30,73.25,74.01,72.38,73.22,460911.041
244,2023-12-31,73.23,74.24,71.41,72.83,403057.357
245,2024-01-01,72.83,74.78,72.06,74.72,308376.95
246,2024-01-02,74.72,75.9,72.48,72.97,608280.863
247,2024-01-03,72.96,73.61,57.71,65.24,1513212.297
248,2024-01-04,65.23,67.11,64.5,66.41,728924.878
249,2024-01-05,66.41,66.73,63.4,66.0,659391.057
250,2024-01-06,65.99,66.08,63.22,65.64,404291.404
251,2024-01-07,65.65,66.38,63.68,64.27,357443.918
252,2024-01-08,64.27,68.37,61.0,67.73,923906.453
253,2024-01-09,67.72,67.82,64.16,66.99,812582.618
254,2024-01-10,66.99,71.2,65.0,70.1,852014.198
255,2024-01-11,70.1,74.62,69.54,71.88,1211539.098
256,2024-01-12,71.88,77.19,70.4,72.97,1734006.087
257,2024-01-13,72.97,73.6,70.98,71.98,629910.67
258,2024-01-14,71.98,72.3,69.43,69.78,482807.612
259,2024-01-15,69.8,71.62,68.79,69.13,386493.938
260,2024-01-16,69.15,70.53,68.38,69.44,461916.829
261,2024-01-17,69.44,70.0,68.35,69.46,382828.255
262,2024-01-18,69.46,70.34,66.21,68.11,742990.258
263,2024-01-19,68.11,71.57,66.97,71.29,647355.327
264,2024-01-20,71.3,72.76,70.45,71.36,614429.987
265,2024-01-21,71.35,72.3,70.5,71.75,311753.373
266,2024-01-22,71.75,72.71,66.67,67.36,770518.903
267,2024-01-23,67.36,68.43,63.19,65.5,701502.871
268,2024-01-24,65.5,66.35,64.86,66.13,385420.813
269,2024-01-25,66.12,66.16,64.56,65.5,275087.101
270,2024-01-26,65.5,67.55,65.19,67.05,321128.162
271,2024-01-27,67.05,68.33,66.34,68.06,248869.999
272,2024-01-28,68.05,68.49,67.29,68.35,301025.603
273,2024-01-29,68.34,68.79,66.84,68.43,435412.27
274,2024-01-30,68.43,68.74,67.17,67.47,299636.981
275,2024-01-31,67.48,70.07,66.14,66.76,612212.176
276,2024-02-01,66.76,68.13,65.7,67.54,289235.143
277,2024-02-02,67.55,68.43,67.32,68.05,209541.969
278,2024-02-03,68.05,69.2,67.9,68.81,215935.272
279,2024-02-04,68.82,68.9,66.46,66.94,288180.813
280,2024-02-05,66.95,68.26,66.58,67.7,272431.234
281,2024-02-06,67.71,68.8,67.55,68.29,317363.773
282,2024-02-07,68.29,68.83,67.75,68.62,355491.453
283,2024-02-08,68.63,70.66,68.36,70.53,461057.053
284,2024-02-09,70.54,71.95,70.07,70.64,774603.897
285,2024-02-10,70.64,71.3,69.93,70.8,369470.127
286,2024-02-11,70.79,73.1,70.6,71.55,613948.449
287,2024-02-12,71.55,73.46,70.32,72.82,487609.667
288,2024-02-13,72.81,73.16,68.1,68.97,1069326.647
289,2024-02-14,68.97,70.76,68.41,69.81,1053386.609
290,2024-02-15,69.81,70.95,69.0,69.76,892633.761
291,2024-02-16,69.76,70.99,68.61,70.59,564443.74
292,2024-02-17,70.59,70.7,68.0,69.97,436214.246
293,2024-02-18,69.97,71.35,69.82,70.8,393086.495
294,2024-02-19,70.8,71.74,70.42,71.3,521590.667
295,2024-02-20,71.29,71.48,67.41,69.65,782301.912
296,2024-02-21,69.65,69.69,67.32,68.9,472252.103
297,2024-02-22,68.91,69.76,67.91,68.8,516782.93
298,2024-02-23,68.79,69.1,67.48,68.8,394735.965
299,2024-02-24,68.79,70.67,68.62,70.41,368401.431
300,2024-02-25,70.41,70.61,69.75,70.16,332747.79
301,2024-02-26,70.16,72.99,69.1,71.93,754791.397
302,2024-02-27,71.93,76.38,71.93,73.97,1532194.552
303,2024-02-28,73.97,77.94,70.27,74.48,1803955.735
304,2024-02-29,74.48,84.96,73.87,79.92,2443670.28
305,2024-03-01,79.93,86.18,79.93,84.87,1292518.576
306,2024-03-02,84.89,94.5,84.45,94.49,2225902.682
307,2024-03-03,94.48,94.68,83.51,90.7,1320154.001
308,2024-03-04,90.7,92.69,87.49,88.95,1600382.338
309,2024-03-05,88.94,91.86,72.0,81.93,2974147.716
